timestamp,open,high,low,close,volume
2025-03-27 00:00:00,42146.65,42837.33,41505.67,42000.0,22882
2025-03-28 00:00:00,41925.25,42124.32,41790.19,41863.12,21890
2025-03-31 00:00:00,43936.36,44254.5,43544.09,44028.73,20930
2025-04-01 00:00:00,43888.74,44418.56,43568.08,44353.73,27219
2025-04-02 00:00:00,45974.46,46675.51,45780.49,45841.58,24604
2025-04-03 00:00:00,45957.64,46265.4,44724.52,45678.13,20998
2025-04-04 00:00:00,46109.56,46117.01,44972.61,45613.01,22401
2025-04-07 00:00:00,46373.73,46871.97,45587.12,46487.84,28362
2025-04-08 00:00:00,47356.81,48209.39,47017.0,47461.35,23758
2025-04-09 00:00:00,47183.95,48215.49,46944.23,47341.43,20567
2025-04-10 00:00:00,44724.25,45148.12,44275.38,44553.21,21296
2025-04-11 00:00:00,43677.88,44904.86,43112.86,44380.51,21786
2025-04-14 00:00:00,45086.61,45438.2,44880.78,45154.29,22948
2025-04-15 00:00:00,45495.07,45573.95,44490.39,45194.36,23431
2025-04-16 00:00:00,45895.49,46913.21,45621.4,45723.36,22805
2025-04-17 00:00:00,46011.84,46311.25,45333.51,46046.27,23306
2025-04-18 00:00:00,45027.48,45417.48,43907.18,44408.17,29022
2025-04-21 00:00:00,44935.77,45661.89,44546.95,45401.6,24008
2025-04-22 00:00:00,45270.91,46235.19,44205.43,44756.8,21657
2025-04-23 00:00:00,44464.41,45869.47,43540.39,44209.02,31169
2025-04-24 00:00:00,45293.8,45932.61,44738.56,44875.42,23658
2025-04-25 00:00:00,43745.67,44446.43,42747.5,44068.09,20236
2025-04-28 00:00:00,44588.91,45567.47,44060.04,44369.69,24688
2025-04-29 00:00:00,43770.47,44613.0,42711.29,43433.71,25932
2025-04-30 00:00:00,43654.12,44181.15,42580.28,43243.12,25101
2025-05-01 00:00:00,42200.48,43221.43,41392.85,42852.33,26917
2025-05-02 00:00:00,42418.22,42780.59,41994.46,42370.27,20918
2025-05-05 00:00:00,41242.38,41903.58,41110.34,41518.13,23569
2025-05-06 00:00:00,41194.89,41818.11,40905.46,41483.75,20322
2025-05-07 00:00:00,41311.15,41625.91,41204.91,41622.03,22585
2025-05-08 00:00:00,42755.07,43395.07,42564.54,42598.01,22245
2025-05-09 00:00:00,41770.03,42195.89,41068.29,41999.7,29831
