index,timestamp,pattern
0,2026-01-01 00:00:00+00:00,doji
0,2026-01-01 00:00:00+00:00,hanging_man
1,2026-01-01 00:15:00+00:00,doji
1,2026-01-01 00:15:00+00:00,bearish_engulfing
1,2026-01-01 00:15:00+00:00,spinning_top
1,2026-01-01 00:15:00+00:00,shooting_star
2,2026-01-01 00:30:00+00:00,bullish_engulfing
2,2026-01-01 00:30:00+00:00,piercing_line
3,2026-01-01 00:45:00+00:00,bearish_engulfing
3,2026-01-01 00:45:00+00:00,shooting_star
4,2026-01-01 01:00:00+00:00,doji
4,2026-01-01 01:00:00+00:00,spinning_top
4,2026-01-01 01:00:00+00:00,shooting_star
4,2026-01-01 01:00:00+00:00,hanging_man
5,2026-01-01 01:15:00+00:00,morning_star
6,2026-01-01 01:30:00+00:00,three_white_soldiers
7,2026-01-01 01:45:00+00:00,doji
7,2026-01-01 01:45:00+00:00,three_white_soldiers
7,2026-01-01 01:45:00+00:00,shooting_star
8,2026-01-01 02:00:00+00:00,three_white_soldiers
9,2026-01-01 02:15:00+00:00,three_white_soldiers
