index,timestamp,pattern
0,2026-01-29 15:02:59.186576+00:00,doji
0,2026-01-29 15:02:59.186576+00:00,spinning_top
0,2026-01-29 15:02:59.186576+00:00,shooting_star
0,2026-01-29 15:02:59.186576+00:00,hanging_man
1,2026-01-29 16:02:59.186576+00:00,doji
1,2026-01-29 16:02:59.186576+00:00,spinning_top
1,2026-01-29 16:02:59.186576+00:00,shooting_star
1,2026-01-29 16:02:59.186576+00:00,hanging_man
2,2026-01-29 17:02:59.186576+00:00,bullish_engulfing
2,2026-01-29 17:02:59.186576+00:00,piercing_line
2,2026-01-29 17:02:59.186576+00:00,morning_star
3,2026-01-29 18:02:59.186576+00:00,doji
3,2026-01-29 18:02:59.186576+00:00,bearish_engulfing
3,2026-01-29 18:02:59.186576+00:00,hanging_man
4,2026-01-29 19:02:59.186576+00:00,doji
4,2026-01-29 19:02:59.186576+00:00,hammer
4,2026-01-29 19:02:59.186576+00:00,spinning_top
4,2026-01-29 19:02:59.186576+00:00,hanging_man
4,2026-01-29 19:02:59.186576+00:00,piercing_line
5,2026-01-29 20:02:59.186576+00:00,doji
5,2026-01-29 20:02:59.186576+00:00,bearish_engulfing
5,2026-01-29 20:02:59.186576+00:00,spinning_top
5,2026-01-29 20:02:59.186576+00:00,hanging_man
6,2026-01-29 21:02:59.186576+00:00,doji
6,2026-01-29 21:02:59.186576+00:00,spinning_top
6,2026-01-29 21:02:59.186576+00:00,shooting_star
6,2026-01-29 21:02:59.186576+00:00,evening_star
7,2026-01-29 22:02:59.186576+00:00,doji
7,2026-01-29 22:02:59.186576+00:00,spinning_top
7,2026-01-29 22:02:59.186576+00:00,shooting_star
7,2026-01-29 22:02:59.186576+00:00,hanging_man
7,2026-01-29 22:02:59.186576+00:00,morning_star
8,2026-01-29 23:02:59.186576+00:00,doji
8,2026-01-29 23:02:59.186576+00:00,spinning_top
8,2026-01-29 23:02:59.186576+00:00,shooting_star
8,2026-01-29 23:02:59.186576+00:00,hanging_man
8,2026-01-29 23:02:59.186576+00:00,morning_star
9,2026-01-30 00:02:59.186576+00:00,bearish_engulfing
9,2026-01-30 00:02:59.186576+00:00,evening_star
10,2026-01-30 01:02:59.186576+00:00,doji
10,2026-01-30 01:02:59.186576+00:00,spinning_top
10,2026-01-30 01:02:59.186576+00:00,shooting_star
10,2026-01-30 01:02:59.186576+00:00,hanging_man
11,2026-01-30 02:02:59.186576+00:00,doji
11,2026-01-30 02:02:59.186576+00:00,three_black_crows
11,2026-01-30 02:02:59.186576+00:00,spinning_top
11,2026-01-30 02:02:59.186576+00:00,shooting_star
11,2026-01-30 02:02:59.186576+00:00,hanging_man
12,2026-01-30 03:02:59.186576+00:00,doji
12,2026-01-30 03:02:59.186576+00:00,three_black_crows
12,2026-01-30 03:02:59.186576+00:00,spinning_top
12,2026-01-30 03:02:59.186576+00:00,hanging_man
13,2026-01-30 04:02:59.186576+00:00,bullish_engulfing
13,2026-01-30 04:02:59.186576+00:00,piercing_line
13,2026-01-30 04:02:59.186576+00:00,morning_star
14,2026-01-30 05:02:59.186576+00:00,bearish_engulfing
15,2026-01-30 06:02:59.186576+00:00,doji
15,2026-01-30 06:02:59.186576+00:00,hammer
15,2026-01-30 06:02:59.186576+00:00,hanging_man
16,2026-01-30 07:02:59.186576+00:00,bullish_engulfing
16,2026-01-30 07:02:59.186576+00:00,morning_star
17,2026-01-30 08:02:59.186576+00:00,bearish_engulfing
18,2026-01-30 09:02:59.186576+00:00,bullish_engulfing
18,2026-01-30 09:02:59.186576+00:00,piercing_line
19,2026-01-30 10:02:59.186576+00:00,bearish_engulfing
20,2026-01-30 11:02:59.186576+00:00,bullish_engulfing
20,2026-01-30 11:02:59.186576+00:00,piercing_line
21,2026-01-30 12:02:59.186576+00:00,doji
21,2026-01-30 12:02:59.186576+00:00,bearish_engulfing
21,2026-01-30 12:02:59.186576+00:00,spinning_top
21,2026-01-30 12:02:59.186576+00:00,shooting_star
21,2026-01-30 12:02:59.186576+00:00,hanging_man
22,2026-01-30 13:02:59.186576+00:00,bullish_engulfing
22,2026-01-30 13:02:59.186576+00:00,piercing_line
